0	-2.51908	-3.19968
200	0.50334	0.44140
400	0.57793	0.51315
600	0.65108	0.57914
800	0.66896	0.60093
1000	0.68908	0.62680
1200	0.71518	0.61328
1400	0.75420	0.67512
1600	0.73282	0.69954
1800	0.77299	0.69459
2000	0.77787	0.74310
2200	0.78990	0.73123
2400	0.80582	0.74022
2600	0.81469	0.76976
2800	0.80200	0.78337
3000	0.82188	0.77809
3200	0.83748	0.79989
3400	0.83824	0.79334
3600	0.84003	0.79958
3800	0.85143	0.80009
4000	0.85344	0.80191
4200	0.85120	0.79711
4400	0.85270	0.81299
4600	0.85775	0.81250
4800	0.85255	0.81151
5000	0.85435	0.80631
5200	0.85034	0.81335
5400	0.85639	0.81427
5600	0.85283	0.81036
5800	0.86744	0.81834
6000	0.85916	0.81040
6200	0.86206	0.81933
6400	0.85665	0.80348
6600	0.85565	0.79903
6800	0.86229	0.80821
7000	0.86358	0.81343
7200	0.85737	0.82136
7400	0.86852	0.81057
7600	0.86126	0.82654
7800	0.86234	0.81682
8000	0.86520	0.81984
8200	0.87057	0.81686
8400	0.86188	0.81458
8600	0.86072	0.82296
8800	0.86933	0.82035
9000	0.86566	0.82108
9200	0.87046	0.82131
9400	0.87480	0.82772
9600	0.86810	0.81971
9800	0.87246	0.82255
10000	0.86990	0.82763
10200	0.86929	0.82089
10400	0.87464	0.81889
10600	0.86907	0.82468
10800	0.87347	0.81972
11000	0.86941	0.80578
11200	0.87258	0.82155
11400	0.86953	0.82451
11600	0.87365	0.82175
11800	0.87126	0.81272
12000	0.87276	0.81803
12200	0.86841	0.82777
12400	0.87025	0.81579
12600	0.87237	0.82847
12800	0.87423	0.82114
13000	0.87444	0.82812
13200	0.87589	0.82401
13400	0.87943	0.82696
13600	0.87569	0.82242
13800	0.87537	0.82532
14000	0.87534	0.82366
14200	0.87638	0.82138
14400	0.87608	0.82826
14600	0.87841	0.82197
14800	0.87650	0.81303
15000	0.87415	0.82458
15200	0.87562	0.81811
15400	0.87370	0.82646
15600	0.87887	0.81718
15800	0.87463	0.82307
16000	0.87809	0.82823
16200	0.87430	0.81714
16400	0.87509	0.82461
16600	0.87516	0.81704
16800	0.87803	0.83082
17000	0.88013	0.82821
17200	0.87993	0.82710
17400	0.87965	0.82688
17600	0.87485	0.81572
17800	0.87517	0.82554
18000	0.87628	0.82135
18200	0.88255	0.83213
18400	0.87996	0.82776
18600	0.87821	0.81796
18800	0.87747	0.82888
19000	0.87682	0.82451
19200	0.87902	0.82064
19400	0.88063	0.81382
19600	0.87854	0.82649
19800	0.88013	0.82562
20000	0.88007	0.83242
20200	0.88460	0.82053
20400	0.88177	0.83237
20600	0.87596	0.80925
20800	0.88095	0.82821
21000	0.88248	0.82525
21200	0.88336	0.82344
21400	0.88434	0.83018
21600	0.88296	0.82409
21800	0.88153	0.83235
22000	0.87941	0.82621
22200	0.87775	0.81221
22400	0.88039	0.83279
22600	0.88176	0.82520
22800	0.88395	0.82772
23000	0.88268	0.83372
23200	0.87288	0.81157
23400	0.88526	0.83070
23600	0.88464	0.83169
23800	0.88360	0.83247
24000	0.88347	0.82008
24200	0.88445	0.82111
24400	0.88113	0.82757
24600	0.88128	0.82854
24800	0.88164	0.83140
25000	0.88126	0.82489
25200	0.88156	0.81872
25400	0.88393	0.82417
25600	0.88225	0.81767
25800	0.88157	0.82384
26000	0.88409	0.82633
26200	0.88208	0.81401
26400	0.88100	0.82155
26600	0.88244	0.81415
26800	0.88382	0.82763
27000	0.88330	0.82586
27200	0.88350	0.83328
27400	0.88620	0.82827
27600	0.88342	0.82319
27800	0.88238	0.82998
28000	0.88278	0.82128
28200	0.88362	0.82684
28400	0.88292	0.82201
28600	0.88416	0.83507
28800	0.87925	0.81979
29000	0.88328	0.82960
29200	0.88414	0.83600
29400	0.88468	0.82871
29600	0.88696	0.82637
29800	0.88476	0.82071
30000	0.88612	0.82329
30200	0.88631	0.82361
30400	0.88415	0.82124
30600	0.88852	0.82510
30800	0.88394	0.82148
31000	0.88613	0.82363
31200	0.88547	0.81906
31400	0.88753	0.82152
31600	0.88506	0.82813
31800	0.88731	0.82875
32000	0.88648	0.82319
32200	0.88821	0.82364
32400	0.88736	0.82190
32600	0.88134	0.82432
32800	0.88653	0.81808
33000	0.88546	0.82221
33200	0.88400	0.81674
33400	0.88938	0.82731
33600	0.88322	0.82953
33800	0.88787	0.83062
34000	0.88438	0.82332
34200	0.88153	0.81673
34400	0.88119	0.81474
34600	0.88282	0.81742
34800	0.88750	0.83381
35000	0.88459	0.83007
35200	0.88712	0.82050
35400	0.88241	0.82227
35600	0.88575	0.82896
35800	0.88613	0.82780
36000	0.88288	0.81868
36200	0.88607	0.82715
36400	0.88427	0.82701
36600	0.88605	0.82125
36800	0.88417	0.82235
37000	0.88845	0.82538
37200	0.88775	0.82834
37400	0.88705	0.82162
37600	0.88713	0.83077
37800	0.88567	0.82468
38000	0.88625	0.82607
38200	0.88604	0.82151
38400	0.88760	0.81865
38600	0.88460	0.80974
38800	0.88773	0.82016
39000	0.88533	0.81807
39200	0.88681	0.82413
39400	0.88747	0.82198
39600	0.88591	0.81988
39800	0.88652	0.82053
40000	0.88743	0.82241
40200	0.88837	0.82659
40400	0.88565	0.82345
40600	0.89113	0.81648
40800	0.88889	0.81969
41000	0.88439	0.81749
41200	0.88699	0.82544
41400	0.88682	0.82380
41600	0.88639	0.81518
41800	0.88905	0.82804
42000	0.88998	0.82703
42200	0.88898	0.82637
42400	0.88939	0.82232
42600	0.89235	0.82999
42800	0.88819	0.82085
